file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,45,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,46,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,4
style.css,47,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,12
style.css,48,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,30
style.css,49,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,7
style.css,50,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,51,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,52,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,10
style.css,53,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,12
style.css,54,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,29
style.css,55,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,18
style.css,56,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,57,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,58,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,11
style.css,59,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,18
style.css,60,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,61,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,62,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,23
style.css,63,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,12
style.css,64,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,65,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,66,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,9
style.css,67,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,12
style.css,68,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,58
style.css,69,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,7
style.css,70,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,14
